goal;level;kracht_oef;cardio_oef;days_per_week;schema;warming_up;    stretching;    strength_training;    cardio;    cooling_down
Kracht;Semi-gevorderd;2;2;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;2;2;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;2;2;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;0;2;Upper body en lower body;(218) (208);(490,887,1057,1112) (963,251,492,963);(461,481,472,440,482) (401,430,400,640,702,800);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;0;4;Upper body en lower body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(461,481,472,440,482) (401,430,400,640,702,800) (461,481,472,440,482) (401,430,400,640,702,800);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;1;2;Upper body en lower body;(218) (208);(490,887,1057,1112) (963,251,492,963);(461,481,472,440,482) (401,430,400,640,702,800);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;1;4;Upper body en lower body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(461,481,472,440,482) (401,430,400,640,702,800) (461,481,472,440,482) (401,430,400,640,702,800);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;2;2;Upper body en lower body;(218) (208);(490,887,1057,1112) (963,251,492,963);(461,481,472,440,482) (401,430,400,640,702,800);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;2;4;Upper body en lower body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(461,481,472,440,482) (401,430,400,640,702,800) (461,481,472,440,482) (401,430,400,640,702,800);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;1;0;2;Upper body en lower body;(218) (208);(490,887,1057,1112) (963,251,492,963);(461,481,472,440,482) (401,430,400,640,702,800);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
