goal;level;kracht_oef;cardio_oef;days_per_week;schema;warming_up;    stretching;    strength_training;    cardio;    cooling_down
Spieropbouw;Beginner;1;2;2;Full body;(217) (215,212,222);(991,624,493) (1035,189,448);(46,346,407,425,447,477,584,682,678,994,1008,1179) (185,387,429,396,446,481,531,681,689,954,1017,1152);(206,223,215) (205,221,223);(451,427,963,1099) (1112,187,189,493)
Spieropbouw;Beginner;2;0;1;Full body;(218,208,214);(194,448,1000);(155,277,428,440,531,707,795,1086,980,1244);(231,218,208);(1056,129,492,1055,1000)
Spieropbouw;Beginner;2;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Spieropbouw;Beginner;2;1;1;Full body;(218,208,214);(473,493,1059);(5,236,425,428,468,480,442,573,677,878,929,1233);(231,218,208);(1068,1056,275,170)
Spieropbouw;Beginner;2;1;2;Full body;(218) (208);(177,474,1007) (1057,187,175);(72,266,407,430,433,445,607,721,849,894,997,1078) (14,358,396,432,463,466,565,706,733,1015,1033,1172);(208) (228);(1000,449,170,1054) (493,1004,1113,1035)
Spieropbouw;Beginner;2;2;1;Full body;(206,215,229);(988,279,1058);(128,293,408,431,453,487,543,657,679,959,987,1153);(214,212,207);(1055,1068,1112,170)
Spieropbouw;Beginner;2;2;2;Full body;(217) (215,212,222);(991,624,493) (1035,189,448);(46,346,407,425,447,477,584,682,678,994,1008,1179) (185,387,429,396,446,481,531,681,689,954,1017,1152);(206,223,215) (205,221,223);(451,427,963,1099) (1112,187,189,493)
Conditie;Beginner;3;0;1;Geen optie;(218,208,214);;;(231,218,208);(1056,129,492,1055,1000)
Conditie;Beginner;3;0;2;Geen optie;(218) (208);;;(208) (218);(473,1019,1035,861) (1113,427,492,887)
Conditie;Beginner;3;0;3;Geen optie;(206,215,229) (218) (209);;;(208) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Conditie;Beginner;3;1;1;Geen optie;(218,208,214);;;(231,218,208);(1056,129,492,1055,1000)
Conditie;Beginner;3;1;2;Geen optie;(218) (208);;;(208) (218);(473,1019,1035,861) (1113,427,492,887)
Conditie;Beginner;3;1;3;Geen optie;(206,215,229) (218) (209);;;(208) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Conditie;Beginner;3;2;1;Geen optie;(218,208,214);;;(231,218,208);(1056,129,492,1055,1000)
Conditie;Beginner;3;2;2;Geen optie;(218) (208);;;(208) (218);(473,1019,1035,861) (1113,427,492,887)
Conditie;Beginner;3;2;3;Geen optie;(206,215,229) (218) (209);;;(208) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Conditie;Semi-gevorderd;3;0;2;Geen optie;(218) (208);;;(218) (226);(473,1019,1035,861) (1113,427,492,887)
Conditie;Semi-gevorderd;3;0;3;Geen optie;(206,215,229) (218) (209);;;(208) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Conditie;Semi-gevorderd;3;0;4;Geen optie;(218) (208) (217) (206,215,229) ;;;(208) (218) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Conditie;Semi-gevorderd;3;1;2;Geen optie;(218) (208);;;(218) (226);(473,1019,1035,861) (1113,427,492,887)
Conditie;Semi-gevorderd;3;1;3;Geen optie;(206,215,229) (218) (209);;;(208) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Conditie;Semi-gevorderd;3;1;4;Geen optie;(218) (208) (217) (206,215,229) ;;;(208) (218) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Conditie;Semi-gevorderd;3;2;2;Geen optie;(218) (208);;;(218) (226);(473,1019,1035,861) (1113,427,492,887)
Conditie;Semi-gevorderd;3;2;3;Geen optie;(206,215,229) (218) (209);;;(208) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Conditie;Semi-gevorderd;3;2;4;Geen optie;(218) (208) (217) (206,215,229) ;;;(208) (218) (231) (226);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;0;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;0;0;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;1;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;1;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;0;1;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;2;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;0;2;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;0;2;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;1;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;1;0;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;1;0;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;1;1;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;1;1;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;1;1;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;1;2;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;1;2;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;1;2;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;2;0;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;2;0;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;2;0;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;2;1;2;Full body;(218) (208);(490,887,1057,1112) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226);(473,1019,1035,861) (1113,427,492,887)
Kracht;Semi-gevorderd;2;1;3;Full body;(206,215,229) (218) (209);(490,887,1057,1112) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244);(205,223,214) (226) (214,212,207);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861)
Kracht;Semi-gevorderd;2;1;4;Full body;(218) (208) (217) (206,215,229) ;(490,887,1057,1112) (963,251,492,963) (963,251,492,963) (963,251,492,963);(6,364,431,429,439,487,538,778,862,891,1038,1154) (153,382,412,432,488,435,592,859,731,1043,1084,1153) (155,277,428,440,531,707,795,1086,980,1244)  (153,382,412,432,488,435,592,859,731,1043,1084,1153);(205,223,214) (226) (214,212,207) (217);(473,1019,1035,861) (1113,427,492,887) (473,1019,1035,861) (1113,427,492,887)
